Data,Hora UTC,Magnitude,Coordenadas,Local
2022-07-31,19:20:08,1.9,-4.85 S; -34.96 W,Litoral do RN RN
2022-07-31,19:39:59,2.4,-5.25 S; -35.1 W,Litoral do RN RN
2022-08-01,02:59:00,2.3,-4.33 S; -35.07 W,Litoral do RN RN
2022-08-03,06:02:00,2,-4.69 S; -35.18 W,Litoral do RN RN
2022-08-05,07:49:07,1.6,-5.2 S; -35.06 W,Litoral do RN RN
2022-08-28,11:50:00,2,-4.84 S; -36.06 W,Litoral do RN RN
2022-09-26,09:59:58,5.6,53.91 N; -35.65 W,Oceano Atlântico Norte Ocean
2023-01-29,18:39:20,2.1,-11.27 S; -40.5 W,Plataforma Continental BA
2023-01-31,10:50:23,1.6,-4.67 S; -34.99 W,Plataforma Continental RN
2023-02-03,18:40:26,1.5,-5.17 S; -35.25 W,Costa de Touros RN
2023-02-09,09:26:27,2,-5.09 S; -35.1 W,Costa do Atlântico RN
2023-02-17,02:11:38,5,0.85 N; -28.74 W,Atlântico Central Ocean
2023-02-21,19:11:22,2,-14.1 S; -38.91 W,Maraú - litoral BA
2023-03-18,17:12:55,6.7,-2.84 S; -79.84 W,Equador - próximo da costa Inter
2023-03-20,21:33:54,3.2,-13.44 S; -38.83 W,Costa marítima BA
2023-03-20,21:33:54,2.8,-13.42 S; -38.81 W,Costa do Recôncavo Baiano BA
2023-04-20,02:23:10,1.8,-5.51 S; -35.06 W,Costa do Atlântico RN
2023-05-11,16:21:49,4.12,-1.32 S; -33.37 W,Oceano Ocean
